time,bits/s
1574443918.112489,125505710.20999268
1574443918.215171,127333944.02236003
1574443918.31523,128346864.36509371
1574443918.41564,120964659.60248111
1574443918.518795,127325358.89674059
1574443918.622248,126015358.16745743
1574443918.724242,127847485.6926337
1574443918.827245,126622551.3646746
1574443918.929998,126545499.71190536
1574443919.031703,128201917.92851111
1574443919.134744,126756630.65425892
1574443919.237749,126835317.71303622
1574443919.340486,126120413.29289064
1574443919.442865,127584178.80143341
1574443919.545882,126916992.2552145
1574443919.649309,126768395.00050983
1574443919.749771,128607346.80308995
1574443919.85217,127778140.90111461
1574443919.955119,126566584.95767872
1574443920.0579,126623894.98621045
1574443920.161141,126994270.1421645
1574443920.264516,125347432.60794358
1574443920.36757,126968055.75057518
1574443920.470053,127357616.36233611
1574443920.571501,129682151.02850156
1574443920.673919,126769282.25726946
1574443920.775757,127604226.60297914
1574443920.878829,126958064.4670376
1574443920.981414,126432543.57992749
1574443921.084322,125903217.81845574
1574443921.184544,125269368.22311576
1574443921.284673,130261426.98018917
1574443921.386951,112305268.4347457
1574443921.490845,115335786.72509511
1574443921.590928,118718281.29289404
1574443921.694501,111246931.49881026
1574443921.794561,118716866.28875466
1574443921.898429,111913399.7060689
1574443921.998498,117785522.41066946
1574443922.102535,112624980.29090059
1574443922.202625,117875488.85420881
1574443922.306424,112433559.97350878
1574443922.406529,118575040.29377249
1574443922.510129,112107417.11471877
1574443922.614184,115535939.00588405
1574443922.718098,114671002.19713938
1574443922.818169,119064330.28764857
1574443922.921871,112007084.2378644
1574443923.025846,115376078.68139936
1574443923.129632,115245781.72755606
1574443923.229733,117890941.41285942
1574443923.333916,112824663.48997524
1574443923.434006,118693099.26164612
1574443923.537779,111121569.84723735
1574443923.6379,118440331.84083192
1574443923.741866,111835067.46606572
1574443923.841923,118499630.08277088
1574443923.945634,111638086.94578892
1574443924.045723,119627752.66697653
1574443924.149292,111011076.1945948
1574443924.249402,117874365.18977815
1574443924.353125,112531050.35293685
1574443924.45322,118921294.41667898
1574443924.556921,111311542.01021281
1574443924.657022,119713883.79610968
1574443924.760828,111517872.89060405
1574443924.864913,115712066.88496573
1574443924.969038,114552954.78342876
1574443925.069124,119180435.72312555
1574443925.172699,111132709.1354967
1574443925.272778,119051275.73510288
1574443925.37633,111928239.45319968
1574443925.480242,115465090.35121234
1574443925.584186,114953653.85542274
1574443925.688266,115932412.64185533
1574443925.792134,115119307.23330317
1574443925.892259,119344085.04301752
1574443925.995985,112216193.45017219
1574443926.096037,117770363.00134662
1574443926.199747,110964270.08877286
1574443926.299842,118798421.40593253
1574443926.403643,112237079.6229477
1574443926.507653,115188227.15432711
1574443926.611669,114915943.38192746
1574443926.715673,115676265.47328004
1574443926.815751,119047870.67044209
1574443926.919315,111561100.67085357
1574443927.019394,119393010.07621245
1574443927.123034,110839177.31487148
1574443927.223095,119422612.11942974
1574443927.326842,111370529.02925827
1574443927.426932,118916759.87100403
1574443927.530692,111584448.22643226
1574443927.63079,119251058.15734792
1574443927.734592,112117927.42191005
1574443927.838853,115326228.02883126
1574443927.942885,114858502.27368112
1574443928.046751,114486281.85845521
1574443928.146865,119463256.0853132
1574443928.250307,110688626.77478251
1574443928.350428,120045769.07641686
1574443928.453763,111142099.7822748
1574443928.557646,115470658.14102903
1574443928.661757,115893363.49112105
1574443928.7657,114841102.46455133
1574443928.865799,119634025.88768888
1574443928.969416,110843515.0237021
1574443929.069473,118846852.98758368
1574443929.1733,111968683.4866026
1574443929.273365,118252453.39534973
1574443929.377139,112050552.26436369
1574443929.481101,115487818.12138441
1574443929.581152,119184981.54754089
1574443929.684725,111024117.57891658
1574443929.784784,119421473.30787863
1574443929.888434,111826740.13943008
1574443929.992395,114821077.26353514
1574443930.096442,115390921.04070185
1574443930.196513,118150997.10507306
1574443930.300279,112591784.22211443
1574443930.404241,115163170.21024373
1574443930.504316,119401263.016473
1574443930.607824,111411716.52978307
1574443930.711998,115068975.12402514
1574443930.812085,119391587.27078502
1574443930.915447,111441769.19104318
1574443931.019453,115330830.77369063
1574443931.119573,119366551.44467029
1574443931.223099,111173681.98528951
1574443931.327237,115645267.40898283
1574443931.431208,114921479.73363861
1574443931.535364,115118545.52088523
1574443931.639323,115746352.83212882
1574443931.743323,115223892.41582532
1574443931.843392,119413217.57363293
1574443931.946823,110940576.14303441
1574443932.046935,119710175.45267472
1574443932.150499,111429956.90824941
1574443932.250579,117993810.90754484
1574443932.354457,112352489.93345688
1574443932.454572,118785116.71647453
1574443932.558196,111620042.2656756
1574443932.658297,119284314.59788005
1574443932.761873,111351411.58551304
1574443932.861969,118605851.41368501
1574443932.965595,111631862.85670084
1574443933.065702,119592121.85220097
1574443933.169091,111205736.30688441
1574443933.273121,115643905.28555606
1574443933.377085,115495767.7216681
1574443933.481169,116396820.61108463
1574443933.584934,113924567.33772862
1574443933.684987,119660266.48615889
1574443933.788556,111548255.73420593
1574443933.892536,114919370.584372
1574443933.996573,115868851.42465357
1574443934.100431,115386912.38791531
1574443934.200521,118486635.86598107
1574443934.304259,112403014.47448654
1574443934.408156,114783603.96482737
1574443934.508237,119495427.18649416
1574443934.611948,111871364.1902729
1574443934.715978,114629121.53428727
1574443934.816047,118250198.33676432
1574443934.919747,112099266.87003107
1574443935.019837,118692250.61525078
1574443935.123794,112403146.28273198
1574443935.227913,114550855.06630526
1574443935.33177,114846621.6075364
1574443935.431901,119476350.19503523
1574443935.535477,111332948.23991083
1574443935.635591,119490586.17907289
1574443935.739197,111538495.56041345
1574443935.843186,115238164.70520878
1574443935.947287,115238592.74973875
1574443936.051114,115182774.35358654
1574443936.155093,115377402.25388952
1574443936.255164,119656557.87715401
1574443936.35865,111326427.11277796
1574443936.462715,115157335.11565068
1574443936.566892,115611896.58467232
1574443936.670962,115161558.68987681
1574443936.774919,114949169.49593377
1574443936.874996,118813994.50843257
1574443936.978729,112298771.04015455
1574443937.082832,114774551.96075583
1574443937.186866,115294340.78791283
1574443937.286966,118123680.453059
1574443937.390503,112496432.7729141
1574443937.494444,115060662.38584253
1574443937.59449,119747269.22873624
1574443937.69804,110904789.51651956
1574443937.802016,115047462.33004309
1574443937.902118,119951441.17114833
1574443938.005682,111582686.82526542
1574443938.109631,115741837.07266293
1574443938.213607,114695390.11047004
1574443938.313685,119404962.98076382
1574443938.417159,111233659.21042463
1574443938.517253,119492009.96406774
1574443938.620817,110681730.33475605
1574443938.720885,118830421.47653669
1574443938.82434,112586698.01728351
1574443938.924457,117630169.98821892
1574443939.024501,112475115.87159406
1574443939.128052,114386181.07511069
1574443939.228356,114755903.64424908
1574443939.331863,115344810.08527939
1574443939.432048,115329809.11331311
1574443939.535548,115670901.49845703
1574443939.635665,114401751.46164864
1574443939.739107,115751465.08370098
1574443939.839259,114681618.3201208
1574443939.942725,116290277.92735247
1574443940.042804,118947374.76691887
1574443940.146397,111876178.72808784
1574443940.246495,118699323.03937459
1574443940.35012,112054520.06958412
1574443940.450201,117309672.4281819
1574443940.554084,112926425.0116142
1574443940.657893,115135432.59871426
1574443940.757936,119544428.8612933
1574443940.861518,111556733.06049356
1574443940.96548,115058286.15226036
1574443941.069305,115529815.90935406
1574443941.169404,119494288.09063546
1574443941.27299,111289890.90212616
1574443941.37308,118800686.33075872
1574443941.476666,111885968.63118966
1574443941.576756,119006174.4305092
1574443941.680361,111300652.11398996
1574443941.780438,119514510.27103713
1574443941.884194,110724988.16432989
1574443941.984312,118325682.22267444
1574443942.08736,112771652.35078853
1574443942.187476,114345887.50575972
