time,bits/s
1574443832.092868,925665717.1718026
1574443832.192939,923381855.2712537
1574443832.293008,924094358.5728002
1574443832.393092,924418799.6832268
1574443832.493157,924717522.3896753
1574443832.593261,924121128.270746
1574443832.693357,923967904.7567846
1574443832.793481,922778500.0523142
1574443832.893603,922914058.1220055
1574443832.993686,923057817.9924494
1574443833.09381,924534830.4267857
1574443833.193862,924250780.4794027
1574443833.293984,924060743.6717776
1574443833.394034,923671603.4017743
1574443833.494113,922957414.4449079
1574443833.594213,922870854.2044404
1574443833.694271,923365085.4198211
1574443833.794384,923915062.807469
1574443833.894468,924303001.2616205
1574443833.99453,924835548.3470919
1574443834.094621,922795422.4546906
1574443834.194693,921865291.4482124
1574443834.294798,922019327.1495523
1574443834.394869,922549169.7775066
1574443834.494962,924432991.7676594
1574443834.595064,924714496.9821354
1574443834.695176,923921667.7205951
1574443834.795241,922742720.1745533
1574443834.895297,922834354.0353456
1574443834.995411,921935838.1706203
1574443835.095493,923976340.2902086
1574443835.195585,924112319.0420171
1574443835.295665,924427612.5476086
1574443835.39576,924057265.1673244
1574443835.495826,922953800.7303377
1574443835.595893,922134282.1017463
1574443835.695987,922685469.5170625
1574443835.796065,922861406.7967355
1574443835.896167,923561986.5185009
1574443835.996231,924835548.3470919
1574443836.096302,924537787.5318823
1574443836.19639,923811184.8649123
1574443836.296487,924277816.7019457
1574443836.396564,924363447.8936069
1574443836.496625,923732382.2557882
1574443836.596698,923017607.3395076
1574443836.696789,922977213.222485
1574443836.796861,922342440.113209
1574443836.896937,922748559.7292764
1574443836.997038,923898355.1745895
1574443837.0971,925073807.158224
1574443837.197186,923862726.9501475
1574443837.297289,924338530.7680416
1574443837.397394,923866629.6632148
1574443837.497457,924610517.408802
1574443837.597504,922657680.7656032
1574443837.697592,922873828.9698498
1574443837.797697,922963226.8445203
1574443837.89775,923190653.9722259
1574443837.997853,922615856.4166526
1574443838.097953,924850108.8473387
1574443838.198022,923779050.9125648
1574443838.298079,924462615.2798291
1574443838.398154,924824525.3299389
1574443838.498235,924685657.8240798
1574443838.598341,923056220.3389488
1574443838.69842,923171419.7116374
1574443838.798501,922820384.6482105
1574443838.898565,922875380.8212485
1574443838.998625,922785955.2859653
1574443839.098677,922967789.1502178
1574443839.198781,923163194.2395456
1574443839.298871,923996530.0031695
1574443839.398955,924621748.7022216
1574443839.499005,924525549.6623248
1574443839.59908,924372261.9108504
1574443839.699159,923770243.7903327
1574443839.799238,922155578.4772224
1574443839.899327,922291167.7727078
1574443839.999435,922807083.886028
1574443840.099533,922670828.2136391
1574443840.199631,922436315.1971023
1574443840.299693,924036733.5528456
1574443840.399756,924395265.8517908
1574443840.499832,924277520.033408
1574443840.599921,924477311.406683
1574443840.700023,924653803.4337133
1574443840.800079,922814553.9333441
1574443840.900201,922459772.2247988
1574443841.000263,922533043.8746704
1574443841.100365,922158603.4304832
1574443841.200452,921833884.8233213
1574443841.300515,924241966.5699784
1574443841.400575,924911683.3545785
1574443841.500663,924612934.3442056
1574443841.600778,924002217.8518962
1574443841.700856,924705493.4858755
1574443841.800967,925085022.6714288
1574443841.901048,924671233.501758
1574443842.001109,924870823.7678465
1574443842.101213,923649162.8866271
1574443842.20132,922714054.7601134
1574443842.301385,922739761.2152314
1574443842.401467,921882870.7521638
1574443842.501525,924659010.350841
1574443842.601617,924815869.1264814
1574443842.701699,924789253.4407582
1574443842.801785,923834099.231456
1574443842.901877,922166568.2422394
1574443843.001944,920463323.2666541
1574443843.102052,922097758.1921093
1574443843.202134,923617015.8686868
1574443843.302206,923642976.7607496
1574443843.402259,924473635.191753
1574443843.502346,923909364.397081
1574443843.602398,921239059.675735
1574443843.702476,922050761.8164899
1574443843.80253,922620286.2175558
1574443843.902618,924491510.8399706
1574443844.002705,924274364.2005177
1574443844.102802,923724009.1535889
1574443844.202901,921139122.4431003
1574443844.302975,922447273.2872219
1574443844.403079,922630502.873499
1574443844.503183,922626850.2520174
1574443844.603281,924329720.7056525
1574443844.703373,923770243.7903327
1574443844.803433,923953025.9934919
1574443844.903504,922444352.5609311
1574443845.003571,922025058.7090589
1574443845.103653,921764223.4597225
1574443845.203714,922777156.0587673
1574443845.303801,924375703.3101147
1574443845.403873,924418538.2591996
1574443845.503937,924601701.0567106
1574443845.604058,922352792.6393855
1574443845.704138,922601206.7482083
1574443845.804209,922461942.9071589
1574443845.904278,923408268.1734769
1574443846.004367,924135277.4799787
1574443846.10442,924366615.8949283
1574443846.204484,923680411.9560083
1574443846.304538,922736120.5284431
1574443846.404624,922319746.5210388
1574443846.504687,922397413.8309917
1574443846.604795,923984604.0960844
1574443846.704875,924459434.989278
1574443846.804928,924222135.8883898
1574443846.904997,922143074.5909084
1574443847.005071,922088124.2843434
1574443847.105162,922633446.678999
1574443847.205215,921575580.3200748
1574443847.305305,922415769.6790801
1574443847.405359,924462615.2798291
1574443847.505438,924120792.3599281
1574443847.605513,923810771.3602407
1574443847.705566,924482451.310454
1574443847.805642,924138415.7248521
1574443847.905727,923947709.1192281
1574443848.005787,922447273.2872219
1574443848.10589,922633446.678999
1574443848.205982,921921115.5609171
1574443848.306056,922429681.2918316
1574443848.406137,922832812.423305
1574443848.506209,923958720.8980781
1574443848.606326,923935787.601573
1574443848.706418,924450873.7865158
1574443848.806493,923932293.0697932
1574443848.906581,924256742.2756612
1574443849.006636,922840954.258163
1574443849.106702,922374710.6307454
1574443849.206787,921144070.2892052
1574443849.306838,922397413.8309917
1574443849.406902,922403294.556824
1574443849.506985,923394219.914208
1574443849.607058,924300507.3872465
1574443849.707132,924256440.30179
1574443849.80721,924363447.8936069
1574443849.907317,924210487.9197565
1574443850.007434,924329720.7056525
1574443850.107498,922294068.6616924
1574443850.207574,921622683.0390908
1574443850.307649,922424564.2232922
1574443850.407754,922375483.4593043
1574443850.507867,922375483.4593043
1574443850.607964,924308653.0544407
1574443850.708059,923959097.3454837
1574443850.808123,924015986.3795509
1574443850.908187,924149430.6692698
1574443851.008255,924092155.8254668
1574443851.108335,923759235.1236924
1574443851.208404,921308768.9200225
1574443851.308487,922348327.0405462
1574443851.408548,922785955.2859653
