time,bits/s
1574444156.147676,925607312.2328736
1574444156.247763,922222332.1249094
1574444156.347811,924740578.1346049
1574444156.447892,924361520.1602643
1574444156.548001,923849018.8697157
1574444156.648066,924010297.9482037
1574444156.748174,923959097.3454837
1574444156.848236,922768356.9993778
1574444156.948317,922829183.5954175
1574444157.048426,923128000.4766902
1574444157.14855,924254841.9554167
1574444157.248682,923067217.7705001
1574444157.348793,924989092.2172079
1574444157.448877,923477857.7045157
1574444157.548936,923037411.1844985
1574444157.649021,922540373.9614245
1574444157.749092,923255038.1187373
1574444157.84917,923298224.3818059
1574444157.949244,924847750.992735
1574444158.049294,925177463.8036081
1574444158.149397,922969037.8591101
1574444158.249448,921132008.5119361
1574444158.349517,922695771.1617317
1574444158.449605,922876028.3936529
1574444158.549655,924161384.4867691
1574444158.649705,924393061.9459034
1574444158.749757,923564575.4358232
1574444158.84984,922360807.5769182
1574444158.949907,922261789.6075679
1574444159.050017,921765148.9023403
1574444159.150078,923821782.6356572
1574444159.250168,922876028.3936529
1574444159.350279,924410250.4824036
1574444159.450346,923923098.6871386
1574444159.550426,922925200.6311549
1574444159.650499,922426762.8855482
1574444159.750569,922093197.3016497
1574444159.850621,922620286.2175558
1574444159.95068,923026408.9434797
1574444160.050741,924042418.995988
1574444160.150819,922490528.6506639
1574444160.250886,923518338.1995308
1574444160.350946,924763815.9122527
1574444160.451058,924625158.9855616
1574444160.551146,923475656.5159223
1574444160.651241,922968413.6609178
1574444160.751339,922913420.2023448
1574444160.851416,921937810.3985239
1574444160.951484,922713366.6798056
1574444161.051588,923440945.0268576
1574444161.15168,924108846.1766977
1574444161.251771,922444352.5609311
1574444161.351871,924135609.7297364
1574444161.451953,924089023.6914196
1574444161.552053,924500566.0086405
1574444161.652162,922213541.436483
1574444161.752218,922698724.3169348
1574444161.852271,921925280.3522319
1574444161.952356,922557229.9041005
1574444162.052462,921564960.1873717
1574444162.152539,924609522.1928031
1574444162.25263,922601206.7482083
1574444162.352704,924754997.7410753
1574444162.452799,924997791.7912585
1574444162.552915,924552454.1255343
1574444162.653012,923492412.3103763
1574444162.753071,922837982.7104193
1574444162.853172,922644440.9335793
1574444162.953238,922860755.4930944
1574444163.053347,923029827.5723469
1574444163.153432,922780027.4658868
1574444163.253492,922661331.1364554
1574444163.353553,924169258.2309313
1574444163.453607,924580652.4474664
1574444163.553705,924196013.4964881
1574444163.653828,924871120.1696105
1574444163.753895,923637700.3196548
1574444163.853971,921375688.1092427
1574444163.954046,922531578.3130637
1574444164.054121,922652533.1815041
1574444164.154194,922782990.9944296
1574444164.254267,922093197.3016497
1574444164.35433,924514529.8934455
1574444164.454428,923483608.4454879
1574444164.554498,924088679.713847
1574444164.654566,924204509.3302565
1574444164.754629,924557621.8181056
1574444164.854725,921967256.6591959
1574444164.954819,922578479.3360977
1574444165.054913,921536410.2705826
