time,bits/s
1574443854.304684,168723817.63265878
1574443854.406435,184795333.7789992
1574443854.508004,184505168.81951275
1574443854.609878,183988393.61071637
1574443854.711713,184557744.78615674
1574443854.813668,184248497.47078338
1574443854.915511,184189217.7215645
1574443855.017544,184602960.28468952
1574443855.11856,184910851.8342643
1574443855.220429,184483434.52398866
1574443855.322283,184593625.2263671
1574443855.424025,183965466.65722626
1574443855.526136,184934566.18364495
1574443855.627915,183939592.16737187
1574443855.729812,184712208.20937407
1574443855.831805,184127080.58463553
1574443855.933458,184310822.08803484
1574443856.035179,184110023.67884746
1574443856.13692,184988492.70517185
1574443856.238882,184379845.7338128
1574443856.340588,184263703.8917002
1574443856.442505,184136616.12940258
1574443856.544397,184049593.0373936
1574443856.646433,184473830.87102613
1574443856.748375,184328272.3522586
1574443856.850045,184024995.72458363
1574443856.951887,184832061.01289058
1574443857.053746,184911222.03564093
1574443857.155377,184041407.43989956
1574443857.257379,184042266.4962577
1574443857.359362,184208420.49761084
1574443857.461351,184240739.27635446
1574443857.563471,184935862.52968982
1574443857.665177,183485821.2564094
1574443857.766811,184725576.24079138
1574443857.868612,184423898.3118709
1574443857.970327,184247283.02739617
1574443858.072355,185882134.12864512
1574443858.174028,183060872.06880406
1574443858.276062,183773802.398113
1574443858.378163,184932405.64728972
1574443858.480091,184263290.93350562
1574443858.5817,183645203.33780953
1574443858.683643,185358627.59222114
1574443858.785205,184059561.62692788
1574443858.886995,184897461.46095842
1574443858.988689,183847988.49009216
1574443859.090537,185179138.6290362
1574443859.192287,184195015.0298853
1574443859.294108,184274219.83199766
1574443859.396149,184961929.20554096
1574443859.497831,183537913.05348366
1574443859.599729,184477820.48294687
1574443859.701789,184432005.64355218
1574443859.803769,184720868.87635377
1574443859.905651,183649192.639674
1574443860.007405,184536749.7516476
1574443860.109126,184569203.87641397
1574443860.211025,184004790.73216677
1574443860.312807,184339426.86791462
1574443860.414533,184446622.06263423
1574443860.516284,184632047.958516
1574443860.618023,184207539.368425
1574443860.720016,184414131.87621287
1574443860.822075,183986770.65847602
1574443860.923984,184125409.83751696
1574443861.026008,184655254.14770144
1574443861.127887,183910868.5964372
1574443861.229893,183608018.93734303
1574443861.331909,185449338.17321834
1574443861.433543,183715275.9729802
1574443861.535212,184309092.5539908
1574443861.637118,184961768.5455052
1574443861.738778,184264274.32118225
1574443861.840519,184715636.55739212
1574443861.941591,185323746.8181112
1574443862.043679,184727368.2058645
1574443862.145589,184501142.58414572
1574443862.24739,183735680.78814632
1574443862.349323,184770150.02328536
1574443862.451143,183703399.56546
1574443862.55313,184466762.09563422
1574443862.654882,183957703.54596028
1574443862.756635,184867215.54429537
1574443862.858559,185378585.91968915
1574443862.960394,184413096.03019562
1574443863.061992,183447219.67354643
1574443863.163283,248079915.06961277
1574443863.265121,307187346.0492677
1574443863.366959,308106528.93073463
1574443863.468576,307387338.57186455
1574443863.570335,307063128.71154034
1574443863.672249,307178957.3632695
1574443863.774098,307115403.8709484
1574443863.876185,307919671.4345217
1574443863.977894,306736973.3517319
1574443864.079682,307086321.8032415
1574443864.181378,307697593.3574454
1574443864.283125,307828044.6126567
1574443864.384682,307902264.3052922
1574443864.486295,307828396.818013
1574443864.587986,308156332.8095173
1574443864.689649,308064251.98233485
1574443864.79128,308364231.8606035
1574443864.892705,307590328.94644976
1574443864.994241,308218831.6535133
1574443865.095936,308038757.05666095
1574443865.197615,307274898.37356204
1574443865.299264,307863677.50075096
1574443865.401027,307820712.30134654
1574443865.502805,307556906.37278616
1574443865.604596,307319807.76002324
1574443865.704671,338535265.24388635
1574443865.806641,389011841.2113602
1574443865.906707,400750409.84283257
1574443866.007854,387081129.3049881
1574443866.107935,402898237.62881607
1574443866.209006,386113873.0474123
1574443866.309085,403357626.4882397
1574443866.410532,388814280.9187384
1574443866.511986,389640369.15243334
1574443866.612067,401699937.634678
1574443866.713258,386575989.3254626
1574443866.813367,402302674.2571757
1574443866.914657,385026660.7524633
1574443867.01475,400147846.11487603
1574443867.11619,386605226.9339315
1574443867.216296,401049265.8233765
1574443867.31747,386602419.81525755
1574443867.419181,389794761.92528456
1574443867.519237,401729671.92656773
1574443867.620936,389328224.40031433
1574443867.721008,403484974.5800694
1574443867.822504,388497208.37263614
1574443867.922572,400283297.70560175
1574443868.023834,387285480.3488584
1574443868.123898,401648276.2755632
1574443868.225744,388997726.345046
1574443868.325794,402524230.3334597
1574443868.427166,389753700.82906204
1574443868.527259,402462557.44296485
1574443868.628212,385961355.29488266
1574443868.730484,392868212.6293802
1574443868.830548,401461622.1816379
1574443868.93228,389270528.52101207
1574443869.032367,399908183.48455626
1574443869.133792,386951999.21180934
1574443869.233863,399160277.1901129
1574443869.335924,390842013.8983561
1574443869.436026,401536291.4879753
1574443869.537738,388917886.0414841
1574443869.637812,402320153.40516704
1574443869.739333,389653546.9667344
