time,bits/s
1574444181.043623,133502551.42840841
1574444181.145584,186572833.6041746
1574444181.24741,182579754.5426185
1574444181.349429,184964091.75934356
1574444181.451327,184643854.47201768
1574444181.553267,183972494.9117809
1574444181.65494,183420471.4906021
1574444181.757072,184393429.15596244
1574444181.859056,183636790.69090638
1574444181.961346,184495569.383761
1574444182.063158,183834874.8720592
1574444182.165163,184540272.79001626
1574444182.267204,183698011.28333235
1574444182.369093,184187492.6026843
1574444182.470916,184171186.06828627
1574444182.572782,184947479.43050846
1574444182.674662,184535704.6864422
1574444182.776641,183941562.9965462
1574444182.87895,182668278.0901378
1574444182.979022,184900553.80936405
1574444183.079143,183386237.67069763
1574444183.181163,180625629.55138803
1574444183.281212,186681738.1277756
1574444183.383614,180122673.5415753
1574444183.483706,186416798.49045452
1574444183.585704,179341249.12413073
1574444183.685808,186409246.57554093
1574444183.788172,180060227.21014357
1574444183.890235,183948932.23162746
1574444183.992427,183401265.6041571
1574444184.09461,183857094.36157358
1574444184.196913,183657304.6834842
1574444184.299057,183039021.7874221
1574444184.399196,186756592.9977314
1574444184.501082,180319019.2741824
1574444184.603203,183501931.49868968
1574444184.705384,184195210.47690237
1574444184.807405,183609736.40091106
1574444184.909481,184631950.53293136
1574444185.011274,184715636.55739212
1574444185.113097,184059084.43727246
1574444185.215179,184738160.70097473
1574444185.316906,184128157.40786356
1574444185.418836,184470479.5601986
1574444185.520574,183743245.80107942
1574444185.62257,184093059.4568703
1574444185.724599,184147261.3225157
1574444185.826516,184383940.05322745
1574444185.928293,184350227.18774593
1574444186.030228,185120361.88550058
1574444186.131785,183722409.22586235
1574444186.233628,184353490.1999508
1574444186.335491,184680611.3074091
1574444186.437226,184681403.24029452
1574444186.539053,184633845.18861476
1574444186.640758,184498968.20908397
1574444186.742636,184198275.12588426
1574444186.84451,184391278.6144204
1574444186.9465,184217899.49747974
1574444187.048332,183800856.65513438
1574444187.150296,184279105.6102164
1574444187.252302,184164915.7871186
1574444187.354322,183725074.84580308
1574444187.456228,184829841.34148312
1574444187.55788,184233144.14407092
1574444187.659756,184539161.608872
1574444187.761599,184967971.17488578
1574444187.863351,184655856.42340904
1574444187.964939,184007270.75102252
1574444188.066681,184527664.6418725
1574444188.168489,184181973.34562877
1574444188.270358,184412866.0040039
1574444188.372256,184748969.6119206
1574444188.474037,184119041.76803288
1574444188.575842,183956031.0719857
1574444188.677859,184372307.96425548
1574444188.780081,183916419.78117052
1574444188.881889,184294079.34040096
1574444188.98374,184816042.79418558
1574444189.085282,184210012.8095841
1574444189.187236,184974183.7254031
1574444189.288993,183961585.01969317
1574444189.390832,184235808.14959574
1574444189.492815,183652683.43486947
1574444189.59483,184718721.5793158
1574444189.696857,184836214.29824167
1574444189.79857,184383279.75543615
1574444189.900177,183977897.18146947
1574444190.001877,184271051.01549646
1574444190.103693,184989640.33739457
1574444190.205897,184063743.34688237
1574444190.307868,183369646.72996858
1574444190.409742,184432730.8671561
1574444190.511766,184246646.350249
1574444190.613684,184127564.7877158
1574444190.715404,184693962.74158305
1574444190.817183,184361028.77321795
1574444190.919119,185068155.30844867
1574444191.020922,183628725.9378614
1574444191.122928,184195926.94267327
1574444191.224998,183710672.02572444
1574444191.326953,183808033.51132467
1574444191.428994,185021461.57026675
1574444191.530688,183820390.35604665
1574444191.632479,184362757.1443598
1574444191.734186,184934416.0227391
1574444191.835974,184432973.2065206
1574444191.937972,184662975.51426134
1574444192.039704,183867505.83379993
1574444192.141727,184204973.83042032
1574444192.243706,183984585.53278118
1574444192.345469,184838182.7110711
1574444192.447201,184541941.64461607
1574444192.549031,184158674.4094884
1574444192.650746,184267161.2887392
1574444192.752612,184796132.12313342
1574444192.854553,183829967.74684706
1574444192.956498,184078875.2218062
1574444193.058523,184355928.51014167
1574444193.160428,184804316.42120835
1574444193.262326,184162050.8522692
1574444193.364195,184440073.31273153
1574444193.465891,184028889.93273732
1574444193.56774,184788342.15873462
1574444193.669684,184165423.25018543
1574444193.771701,184197650.09087422
1574444193.87358,183828115.7389199
1574444193.975617,184163193.25131178
1574444194.077335,184605566.051054
1574444194.17932,184939131.2296686
1574444194.281038,183781163.5225334
1574444194.383023,184482729.65691105
1574444194.484814,183869336.53414816
1574444194.586763,183847604.94811356
1574444194.688789,184134345.5658773
1574444194.790936,185216721.330004
1574444194.892668,183402793.85668632
1574444194.99451,184158674.4094884
1574444195.096507,185344808.03923705
1574444195.198274,183831730.6750746
1574444195.300051,184861581.5948801
1574444195.401687,184066462.54457712
1574444195.503377,184652771.6651926
1574444195.605104,184798800.43566918
1574444195.70683,184078945.5946884
1574444195.808994,185768119.36571762
1574444195.910593,182853614.3827957
1574444196.012499,184676325.89556268
1574444196.114294,183864166.4611852
1574444196.216537,184810590.1683904
1574444196.318146,183661156.77619454
1574444196.419954,185127336.73162192
1574444196.52146,184052652.6657408
1574444196.623346,185088521.18153957
1574444196.725155,184673649.92675182
1574444196.826989,184082803.89162844
1574444196.928787,185415004.79037616
1574444197.030504,183804438.96422908
1574444197.13247,183909227.97853357
1574444197.232564,194432964.24378583
1574444197.3338,303079369.9840977
1574444197.43559,307487726.2283788
1574444197.537431,307258695.60488206
1574444197.639294,306992268.7371998
1574444197.741124,307112379.19802827
1574444197.842919,308461342.5349282
1574444197.944362,307640924.0785018
1574444198.045933,308322544.01146096
1574444198.147517,307685518.14361155
1574444198.249291,307380317.39813983
1574444198.350898,308323690.8639485
1574444198.452644,308268569.26038575
1574444198.554068,307933835.7944246
1574444198.655938,307523028.77084094
1574444198.757682,307696081.53006554
1574444198.85935,308052686.00092924
1574444198.961057,306818281.16761786
1574444199.062908,307713893.6724448
1574444199.164601,307256158.6712766
1574444199.266508,306964434.9269526
1574444199.368513,308437220.73025906
1574444199.469985,307259201.2390184
1574444199.571708,307609569.26540107
1574444199.673389,307739458.54688424
1574444199.775138,308034950.54546475
1574444199.876599,307674200.6223073
1574444199.978219,308260728.67036587
1574444200.079735,308182627.77403206
1574444200.181525,307566276.91052353
1574444200.283363,307343638.72334146
1574444200.385118,308007508.29303426
1574444200.486693,307478286.69672376
1574444200.588434,307567018.30194384
1574444200.690173,307624717.36480606
1574444200.791957,307415661.19142413
1574444200.893739,307092079.11403584
1574444200.995444,307681716.43759793
1574444201.097133,307712750.12772065
1574444201.198935,307706037.89985096
1574444201.300611,307751731.5372759
1574444201.402265,307742346.221263
1574444201.503894,307894025.27096486
1574444201.605507,307885353.86897355
1574444201.707265,308117804.6013002
1574444201.808686,308114034.54680514
1574444201.910172,308020916.7090669
1574444202.01174,307688408.01677465
1574444202.113368,308266517.2237693
1574444202.215045,307789897.4715413
1574444202.316854,307347178.2165702
1574444202.418397,307785250.1476041
1574444202.520168,307857512.7634425
1574444202.62202,307369615.45065874
1574444202.72367,307470375.15478563
1574444202.825309,307860787.54893035
1574444202.926908,308333101.2166335
1574444203.028489,307772960.82945484
1574444203.130074,307977323.77086735
1574444203.231716,307947348.05900216
1574444203.333442,307537465.53675133
1574444203.435387,307669818.6227348
1574444203.53723,306603187.16456044
1574444203.639179,308421300.73971987
1574444203.740819,306960853.71454054
1574444203.842466,307830446.33023435
1574444203.944179,307706254.18619376
1574444204.045814,307756154.09810305
1574444204.147482,307766893.64169985
1574444204.249329,307342261.26595986
1574444204.351035,307193469.36170673
1574444204.452972,306984750.3748842
1574444204.555004,307756689.46019113
1574444204.656654,307175931.59152067
1574444204.758479,307411375.96360713
1574444204.86019,307411985.5732772
1574444204.961893,308173680.94255406
1574444205.063536,308278818.62160367
