time,bits/s
1574444261.412405,121160734.52756105
1574444261.512875,197044986.75422293
1574444261.614117,196115861.99225238
1574444261.715235,195565600.27278024
1574444261.816582,196370215.02658015
1574444261.917589,195763283.57856005
1574444262.018862,196284708.9504803
1574444262.120427,194149126.17983294
1574444262.221664,195880888.13196954
1574444262.32284,196236085.42507923
1574444262.424174,195710725.34335288
1574444262.525374,195853625.04257306
1574444262.626527,196103606.59488252
1574444262.727523,196251483.36741057
1574444262.828656,196098055.5894615
1574444262.930253,194751147.74389067
1574444263.031488,196133423.9169742
1574444263.132759,195614872.84461135
1574444263.233774,195636982.5686756
1574444263.335057,197289213.94451368
1574444263.436252,194855429.276434
1574444263.537323,195522930.6041488
1574444263.638785,196401083.9221175
1574444263.739486,195882101.93684947
1574444263.840602,195907653.39621136
1574444263.941197,197028236.8190323
1574444264.042347,195923364.76723868
1574444264.143486,196049497.69381845
1574444264.244661,196218505.11160254
1574444264.345891,195776553.4735696
1574444264.447011,195985294.60628834
1574444264.54888,195239729.60730988
1574444264.649271,196360513.7416807
1574444264.750978,194890227.47950432
1574444264.85212,196094355.09376585
1574444264.953385,196530741.56278372
1574444265.054496,195437594.12954855
1574444265.15582,195238022.17487165
1574444265.257043,195682813.93671966
1574444265.358376,196030340.441513
1574444265.459585,195395487.90797055
1574444265.560939,195643019.2345705
1574444265.662268,196767510.5234383
1574444265.763309,195343372.22527084
1574444265.864319,195891450.1989957
1574444265.965506,196451766.85576332
1574444266.065884,197080770.03346238
1574444266.167213,196174264.5188661
1574444266.26823,195529627.70495766
1574444266.369237,196412817.0825244
1574444266.470259,195827621.41921592
1574444266.571501,196259483.31280032
1574444266.6726,195911351.1711381
1574444266.773849,195273962.99535426
1574444266.875279,196437576.21974847
1574444266.97635,195268229.87527317
1574444267.077595,195508876.7489463
1574444267.179052,196156894.61146984
1574444267.28084,194347725.55753383
1574444267.382314,195895702.88352716
1574444267.483338,195172018.21391276
1574444267.584445,196473401.20912653
1574444267.68553,196059291.98488793
1574444267.786549,195952057.84017587
1574444267.887731,196379812.66245505
1574444267.988818,196068635.74417886
1574444268.089803,196640374.71215528
1574444268.190837,195242494.8383115
1574444268.292006,196381665.03570005
1574444268.393094,196024136.26404116
1574444268.494334,195407760.7683456
1574444268.595511,195997267.00781092
1574444268.69685,195920120.9927403
1574444268.797951,195897947.4011343
1574444268.899196,195877195.8278359
1574444269.000291,195905342.3577664
1574444269.102061,194509437.26265457
1574444269.203366,196451602.03958064
1574444269.304335,195703073.48948848
1574444269.405371,195958073.03947672
1574444269.506422,196344664.22822827
1574444269.608041,194922113.5919247
1574444269.709112,196235998.6216749
1574444269.810137,196162055.94815192
1574444269.911278,195501946.35235068
1574444270.012492,196150526.7082743
1574444270.113693,195960306.35363448
1574444270.215116,195386130.2000108
1574444270.316335,195675435.77005774
1574444270.417514,195539061.82485873
1574444270.518694,195879021.179799
1574444270.619905,196272897.35633615
1574444270.720993,196061142.63529378
1574444270.822226,195762714.70812353
1574444270.924122,195109048.68042222
1574444271.025224,195136529.76261684
1574444271.126464,196276598.10483444
1574444271.227677,195342992.69056338
1574444271.328837,196224519.074881
1574444271.430035,195847623.28141907
1574444271.530869,197629366.21538854
1574444271.632438,193644808.481647
1574444271.733716,196036410.4936122
1574444271.834345,196754867.76477507
1574444271.935514,195805095.79578796
1574444272.037325,195096696.42712498
1574444272.138635,195625355.80190578
1574444272.239845,196181504.21964616
1574444272.340772,195972949.61820683
1574444272.441872,196319177.01783097
1574444272.542874,196134399.97218424
1574444272.644011,196550932.7297302
1574444272.744433,196640018.90907362
1574444272.845449,195827621.41921592
1574444272.946667,196135272.72359818
1574444273.047859,195966311.51134327
1574444273.149063,195824543.0123387
1574444273.250909,194390973.96952945
1574444273.352123,196040177.8480335
1574444273.453488,195993893.2847823
1574444273.554508,195749876.52774864
1574444273.655794,196255583.91505978
1574444273.75677,195243484.7996825
1574444273.857961,195983405.1287216
1574444273.959327,196104549.86547676
1574444274.060501,195643926.6131221
1574444274.161667,195917820.72086644
1574444274.262854,195393645.49289984
1574444274.363996,195950627.55968133
1574444274.465218,195927515.44684422
1574444274.56647,196696175.1082143
1574444274.667641,195810636.70455623
1574444274.768028,196832087.65406814
1574444274.869158,195942771.40071553
1574444274.970307,196051809.429254
1574444275.071596,196021174.25197306
1574444275.173067,194720493.94118464
1574444275.274305,195875349.7279678
1574444275.375253,195965506.68898413
1574444275.476604,196850856.16358662
1574444275.577705,195812423.99567726
1574444275.678695,195722030.87228534
1574444275.779749,196087980.9928134
1574444275.880894,195925212.85242313
1574444275.981959,196097700.14104852
1574444276.083183,196038329.75487617
1574444276.184329,195871145.36269066
1574444276.285497,195782012.05091968
1574444276.38659,195956197.80202103
1574444276.487098,196972493.70767775
1574444276.588162,196414843.08651963
1574444276.690027,195143318.339395
1574444276.791026,195630976.51659098
1574444276.892318,196251886.11631483
1574444276.993325,195642526.94408494
1574444277.094411,196066694.79614207
1574444277.195715,196107893.40168092
1574444277.296806,195578982.09218195
1574444277.397976,195772318.50102323
1574444277.499134,195783396.92212507
1574444277.600427,196245877.49054408
1574444277.701494,195742119.08161497
1574444277.802057,196745093.77071705
1574444277.903158,196344875.80395997
1574444278.004423,195619195.53945607
1574444278.105522,195697779.71933317
1574444278.206856,196509561.61829114
1574444278.307884,195357208.4075467
1574444278.409042,196125227.81673113
1574444278.510193,196031930.28597838
1574444278.611356,195430500.39708018
1574444278.712575,195989411.70224866
1574444278.813827,196486175.598652
1574444278.914955,196111933.69229135
1574444279.015981,195718446.50544968
1574444279.117076,195691776.97490904
1574444279.218294,196140819.35260433
1574444279.319396,196389352.54182544
1574444279.420297,195601046.43459308
1574444279.521382,196282579.6914248
1574444279.622672,196366318.70297158
1574444279.723766,195717175.71838975
1574444279.825392,194883684.92098555
1574444279.926727,196207061.39180475
1574444280.027754,195718908.6385383
1574444280.128858,195550374.91251215
1574444280.230123,196050263.67787436
1574444280.331231,196001014.37523147
1574444280.43231,195633451.14519843
1574444280.533041,197080394.39931235
1574444280.634402,195652688.6675704
1574444280.735585,195745089.37791932
1574444280.836821,195756718.51732475
1574444280.93799,195581945.62499294
1574444281.039121,195967728.4364511
1574444281.140356,196222488.55857965
1574444281.241655,195633186.52796158
1574444281.34295,195906742.7433613
1574444281.444137,195304433.69116914
1574444281.545361,195706335.5567487
1574444281.646496,196415013.7307902
1574444281.747617,195868835.18549952
1574444281.848764,196115634.85147431
1574444281.949825,196021886.61242682
1574444282.050324,197195183.74503353
1574444282.151536,196216654.73552585
1574444282.252585,195450694.84140277
1574444282.353242,197371171.5233484
1574444282.455142,199580720.13874942
1574444282.556309,195877173.9659233
1574444282.657532,195325960.8316842
1574444282.758774,196210930.55793417
1574444282.860546,194708448.6229661
1574444282.961732,195857780.3234772
1574444283.062963,195657914.8539167
1574444283.164129,195997267.00781092
1574444283.265521,195461515.0849639
1574444283.366734,195471316.09525424
1574444283.468047,195964866.88524777
1574444283.569326,195471575.03459713
1574444283.67056,196011074.42763457
1574444283.771696,195651152.69411615
1574444283.872949,196090910.98234388
1574444283.974178,195915510.2541348
1574444284.075386,196177804.89793378
1574444284.176676,195561145.29278046
1574444284.277793,195305458.89774716
1574444284.378934,195820334.0495241
1574444284.480182,196189205.20241144
1574444284.581365,195868861.9346078
1574444284.682652,195939507.5440896
1574444284.783181,196943044.03588277
1574444284.885013,195846635.54918116
1574444284.985993,195479051.38100335
1574444285.08652,197052270.89009812
1574444285.18833,195020792.03874677
1574444285.28937,195819761.33113915
1574444285.389992,197207703.37425083
1574444285.49095,195714632.4322894
1574444285.592218,195823211.77995223
1574444285.693352,195959870.90621772
1574444285.794417,196092146.22408518
1574444285.896093,194901657.07969335
1574444285.997371,196055343.66934812
1574444286.098375,195879883.92826828
1574444286.199656,195681566.67465878
1574444286.300857,195824543.0123387
1574444286.402146,196145306.93664208
1574444286.503256,195109365.95178348
1574444286.604502,196216940.5483381
1574444286.705769,195696776.80604497
1574444286.8069,195513474.78610045
1574444286.908203,195650692.77092773
1574444287.009336,196187212.83634838
1574444287.110583,196447749.93173158
1574444287.211711,195284267.89889517
1574444287.312777,195907186.8543154
1574444287.413836,196329371.10791898
1574444287.515079,196571956.37361684
1574444287.615986,195827056.5348475
1574444287.717054,196109734.70714587
1574444287.81827,196282612.1188003
1574444287.91934,195273759.85605928
1574444288.020559,195803313.96881133
1574444288.121764,196152838.1250601
1574444288.22324,195276374.57883826
1574444288.324475,195550800.59826756
1574444288.425662,195888719.62427145
1574444288.526388,196992399.3947515
1574444288.627648,195403617.29125467
1574444288.728764,196492871.416716
1574444288.829842,195826286.00433722
1574444288.930901,195816062.68448752
1574444289.032052,196644202.77831736
1574444289.13296,196165591.9541984
1574444289.234283,195732382.76263824
1574444289.335768,194715001.70146552
1574444289.436798,196614879.79616487
1574444289.537987,195512326.6093016
1574444289.63944,195564522.21686384
1574444289.74068,195753028.73632872
1574444289.841891,195939060.2889541
1574444289.943194,195774789.88603282
1574444290.044325,195509324.3933249
1574444290.145703,196684152.31652352
1574444290.246913,195011431.21331134
1574444290.348016,196016274.20978624
1574444290.449098,195723180.02112567
1574444290.550193,195934927.76818597
1574444290.651447,196438030.1572824
1574444290.752419,196031673.44580954
1574444290.854102,194800931.76390657
1574444290.954527,196992298.54627335
1574444291.055765,195987520.84414893
1574444291.156917,196171944.23276314
1574444291.258052,195599012.1526441
1574444291.359273,195789932.80678686
1574444291.463487,194995416.3756644
1574444291.567398,196147355.85766557
1574444291.67008,197734988.8034505
1574444291.770152,195926075.805562
1574444291.871025,193723585.90657362
1574444291.972139,195991304.80842814
1574444292.073328,196226369.59928703
1574444292.174941,194479128.13351458
1574444292.276097,196011130.84793654
1574444292.377194,196038012.01605424
1574444292.478246,196443585.81752264
1574444292.579413,195499640.82874435
1574444292.680493,196049114.0321245
1574444292.781705,196412869.27534115
1574444292.882742,195687488.55919674
1574444292.983453,196820533.07660237
1574444293.085102,195088858.65169764
1574444293.186376,195937661.3484969
1574444293.287466,196034311.6234448
1574444293.389267,194671951.0822963
1574444293.491155,199090572.53928924
1574444293.591618,192513473.53648385
1574444293.692682,195991349.71657863
1574444293.793968,195539960.92968228
1574444293.894852,197082755.81124836
1574444293.996069,195255638.31002647
1574444294.097484,195802126.81069383
1574444294.198884,195469332.6994255
1574444294.30038,195025062.1633217
1574444294.401944,195360130.25858834
1574444294.503412,194842485.27656692
1574444294.605179,194850624.767889
1574444294.705716,197034970.09891272
1574444294.807462,195109026.81143424
1574444294.908817,195687690.79632786
1574444295.009569,196366381.2889228
1574444295.110879,195943183.33365038
1574444295.212091,195455653.69865906
1574444295.313485,195445881.73184
1574444295.414168,197757259.11016977
1574444295.515226,195549700.08870968
1574444295.616883,194709786.02195656
1574444295.718623,194898590.5286632
1574444295.820098,195097963.24378815
1574444295.921775,194789507.29338464
1574444296.023108,195814045.4470449
1574444296.124904,194683355.09384623
1574444296.226826,194837263.68278894
1574444296.328855,194170482.97518232
1574444296.430648,194706167.12574288
1574444296.532388,194788791.4045169
1574444296.633338,196202526.3321377
1574444296.734896,195141530.40811723
1574444296.83653,195086569.56953412
1574444296.938217,195581852.09146783
1574444297.039185,197418738.4231887
1574444297.141266,196913307.7219915
1574444297.241994,196772054.19428182
1574444297.342894,191323331.09199867
1574444297.44439,195729481.13563696
1574444297.545901,204938780.32399815
1574444297.646404,249176767.07350275
1574444297.74649,268194258.00367516
1574444297.849038,257090448.32234746
1574444297.949126,266553990.24285337
1574444298.049185,264775772.40496323
1574444298.151097,256206685.69176865
1574444298.251159,266176458.5087015
1574444298.351665,258825651.07233208
1574444298.453847,260866161.60485232
1574444298.553918,267078900.5115922
1574444298.656121,259022032.29533085
1574444298.758965,263359981.30955192
1574444298.859045,268282497.67753288
1574444298.961412,257817169.75205016
1574444299.061514,269055895.65630466
1574444299.163398,257738104.91064662
1574444299.263529,268652338.1266549
1574444299.365741,257404891.7601645
1574444299.465837,270074102.972014
1574444299.567639,256620114.27118883
1574444299.668146,269840880.57267416
1574444299.769565,257632514.10000446
1574444299.869663,268361898.5458869
1574444299.971732,278537622.7904555
1574444300.073586,308702536.5803886
1574444300.175079,306876853.9603596
1574444300.277177,306372061.0092424
1574444300.379371,296325391.0628304
1574444300.47952,312129312.54153544
1574444300.579626,302097202.04814947
1574444300.679679,303113821.69019634
1574444300.779731,307667665.7303659
1574444300.880921,303913902.4346153
1574444300.980969,307661797.6116326
1574444301.082142,303654007.595699
1574444301.182231,308922210.829462
1574444301.283175,303316017.88736564
1574444301.383226,308591432.64194316
1574444301.48401,304611975.7195155
1574444301.585157,314307574.120385
1574444301.685785,351155353.49271333
1574444301.78583,370542476.34520245
1574444301.886295,368716475.62853736
1574444301.986351,371080935.8187981
1574444302.088029,364047797.7150793
1574444302.188084,371439014.81759626
1574444302.288766,366219854.6112358
1574444302.388945,369773608.8437356
1574444302.489487,367987627.4757553
1574444302.589636,369936877.6021034
1574444302.691141,365411437.0479004
1574444302.791192,373508662.5117099
1574444302.892427,362261794.7202692
1574444302.992494,372119749.8609534
1574444303.093931,362500375.1407362
1574444303.194019,372299023.955879
1574444303.29408,353751238.5118545
1574444303.394499,367150722.2400768
1574444303.495581,360935951.4712894
1574444303.596197,368036572.5938851
1574444303.697262,366791642.71867543
1574444303.797672,368673075.9599745
1574444303.898712,366484760.8410257
1574444303.999561,369332944.41418034
1574444304.099891,351418739.0497784
1574444304.199961,369295248.9418898
1574444304.300416,364076681.0556562
1574444304.400965,367892479.5579098
1574444304.501043,368969825.68931687
1574444304.60118,360503298.1073974
1574444304.701274,364240198.9464032
1574444304.801565,366307490.4549465
1574444304.902344,365905807.03383964
1574444305.002392,368225861.9260389
1574444305.102473,366617802.8055989
1574444305.202937,364134607.1402491
1574444305.303308,368213159.5737242
1574444305.404079,367293539.39401627
1574444305.504261,369696138.0021808
1574444305.605134,367094884.1203763
1574444305.705438,368925758.10547143
1574444305.806187,367543368.48720753
1574444305.906353,369859362.58879554
1574444306.007259,362301871.31130815
1574444306.107818,367582466.1280698
1574444306.208084,359023010.7433226
1574444306.308211,353854091.8681212
1574444306.409068,351883524.43348235
1574444306.509179,343611097.21725994
1574444306.610456,319317304.9345853
1574444306.710513,312636805.0848943
1574444306.810916,302046821.27673084
1574444306.912616,307225891.6725052
1574444307.014358,308164041.95899034
1574444307.115872,308102724.33550036
1574444307.21614,302788234.6440012
1574444307.31685,304145894.2663051
1574444307.41825,308809191.2022243
1574444307.519698,309563339.9697167
1574444307.621302,307679016.12746835
1574444307.722855,307349700.0936019
1574444307.824654,307986198.4579105
1574444307.926187,307713771.7695965
1574444308.027826,307875960.40131897
1574444308.129547,307784945.7140779
1574444308.231479,307374036.72149134
1574444308.333029,307827185.79665434
1574444308.434602,308045853.9125534
1574444308.536577,239744317.3879629
1574444308.638621,183984620.33075354
1574444308.740615,184771428.3692053
1574444308.842848,183296861.22637948
1574444308.945045,183597677.17618942
1574444309.047437,183501120.04309383
1574444309.149763,183509772.05041522
1574444309.251937,183306244.98213077
1574444309.35414,184177152.9238059
1574444309.456447,183205818.46521497
1574444309.558661,183818903.53114054
1574444309.658874,277475707.1855872
1574444309.760706,306768015.4706425
1574444309.862673,306702807.8841014
1574444309.964603,307323617.56899834
1574444310.064746,310365324.5605011
1574444310.165628,303024099.94520545
1574444310.265716,310701975.2767488
