time,bits/s
1574308534.984258,899681552.9314156
1574308535.084262,950880503.1482528
1574308535.18427,947442172.7189503
1574308535.284289,965035261.0476232
1574308535.384304,957984428.9491062
1574308535.484385,961865682.4880214
1574308535.584459,964315785.4610605
1574308535.684464,990670239.5319507
1574308535.784474,922626089.6763488
1574308535.884486,954103095.2647727
1574308535.9845,966692597.4964062
1574308536.084511,974921900.3299448
1574308536.184523,963913589.5944387
1574308536.284538,1027768659.0191759
1574308536.384551,1033897455.8492581
1574308536.484562,1014409062.9082552
1574308536.584573,957489498.968851
1574308536.684582,1063124973.2513231
1574308536.784597,982381485.693035
1574308536.884599,1017198544.8858095
1574308536.984603,1025978963.3295902
1574308537.084607,1048678497.8983833
1574308537.18461,1017088845.3276432
1574308537.284623,1015996808.9483709
1574308537.384632,1063435093.0729326
1574308537.484644,1069693905.4811764
1574308537.584646,1031698524.1434228
1574308537.684649,1076788190.589722
1574308537.784652,1067788289.2939311
1574308537.884669,1063251449.6446867
1574308537.984679,1072414090.3629394
1574308538.084691,1075593320.3646488
1574308538.184694,1052590965.5392743
1574308538.284699,1067667926.4643825
1574308538.38471,945315256.8491517
1574308538.484719,1060927657.7686973
1574308538.584727,1070237229.5478656
1574308538.684732,1065967977.5321081
1574308538.784736,1026778946.9267284
1574308538.88474,1070088264.0695221
1574308538.984745,1058768193.8189456
1574308539.084754,1071624373.4325085
1574308539.184758,1062578212.8986574
1574308539.284763,1064178180.0929337
1574308539.384771,1065937481.7322478
1574308539.484796,1070566197.5295694
1574308539.584801,1056568259.9065905
1574308539.684871,1058878984.456156
1574308539.784886,1072670593.2330666
1574308539.884896,1080913409.494021
1574308539.984904,1032939417.1007617
1574308540.084912,1065447671.3608979
1574308540.185021,1066269744.471569
1574308540.285027,1074367725.1974642
1574308540.385042,1074470376.1076188
1574308540.485066,1079236350.8417284
1574308540.585072,1067278116.5318438
1574308540.685075,1058890911.4664047
1574308540.785081,1076357400.4820633
1574308540.885085,1069678067.3232579
1574308540.985099,1073273079.4316773
1574308541.085108,1055428032.7755513
1574308541.185129,1060398756.2632595
1574308541.285132,1000689025.1886467
1574308541.385146,979081883.7563561
1574308541.485153,1064745167.3135425
1574308541.585161,1052835740.0061032
1574308541.685175,1076570122.7945962
1574308541.785185,1016118600.1182462
1574308541.885198,984093010.5178843
1574308541.985247,824721292.779471
1574308542.085342,908405578.7534854
1574308542.185357,830056982.0908408
1574308542.285392,830235547.3777541
1574308542.385415,823635834.6086185
1574308542.485454,855592792.2379707
1574308542.585492,797521249.0675132
1574308542.685542,880385237.2101004
1574308542.785604,858595197.3541557
1574308542.885711,777590578.3498107
1574308542.985734,817427327.5823026
1574308543.085814,809884810.2080053
1574308543.185832,759046432.6515043
1574308543.285853,856023261.4645218
1574308543.385939,829677687.9295763
1574308543.485947,783659642.7719977
1574308543.585964,849679262.7237836
1574308543.68598,915672492.5198418
1574308543.786025,874525528.3715831
1574308543.886028,849392709.6038948
1574308543.98606,851353178.2472733
1574308544.086122,919057457.9558614
1574308544.186134,882220912.9659474
1574308544.286148,954887079.240965
1574308544.386158,889939317.0727055
1574308544.486218,909217460.3303205
1574308544.586237,899146508.7651548
1574308544.68625,903508233.9983741
1574308544.786324,942570551.1979922
1574308544.886346,874294525.2824323
1574308544.986361,887686560.4409226
1574308545.086386,891394700.7939894
1574308545.186657,860567431.9665397
1574308545.286712,894538662.4036003
1574308545.386729,910281502.699739
1574308545.486765,881600269.2260941
1574308545.586788,957497739.2680665
1574308545.686817,897956794.2337395
1574308545.786851,915614900.7176548
1574308545.886924,960961045.7619029
1574308545.986945,875690930.3340755
1574308546.086979,931256656.3378938
1574308546.187023,879238184.2837158
1574308546.287042,869351594.9864362
1574308546.387171,906182652.9148024
1574308546.487236,889638766.4375321
1574308546.587481,875250694.1547215
1574308546.687524,889771582.149245
1574308546.787549,865192573.992571
1574308546.887929,912493397.3811721
1574308546.987947,896912563.7415386
1574308547.088008,886685024.2807512
1574308547.188051,853960566.323758
1574308547.28808,853087252.1243758
1574308547.388112,837449222.7020946
1574308547.488152,864649323.468843
1574308547.588213,904085695.7268704
1574308547.688216,875090402.6607221
1574308547.788218,857498773.3381653
1574308547.888274,925009079.4060807
1574308547.988292,888065338.9083039
1574308548.088374,907782310.9285738
1574308548.188394,870195019.8459525
1574308548.288428,907810837.536109
1574308548.388442,906692778.4876513
1574308548.488459,937660054.2082943
1574308548.588484,860412093.3824686
1574308548.68872,908716196.2445221
1574308548.788724,833340033.1977904
1574308548.888749,964599280.8753096
1574308548.98877,896716931.753596
1574308549.088778,931454252.3441355
1574308549.188832,866875546.3496838
1574308549.288919,856771572.2497362
1574308549.388933,705114935.0745326
1574308549.489496,496680664.10650533
1574308549.58953,675440363.4822924
1574308549.689853,855205360.9322652
1574308549.78986,604033213.8850629
1574308549.88992,785843591.7402555
1574308549.989932,854015296.9447305
1574308550.089949,902473912.4029474
1574308550.189964,870886630.9879972
1574308550.290114,914090368.3970566
1574308550.390163,871254967.5529712
1574308550.4902,822767436.9348214
1574308550.590225,839516656.7665105
1574308550.690273,890814127.584522
1574308550.790285,922808473.8909868
1574308550.890409,849527441.3768141
1574308550.990421,889368910.4980738
1574308551.090445,907201874.8957146
1574308551.190461,798353175.8114697
1574308551.290476,906481997.3062208
1574308551.390693,852654175.5187511
1574308551.490727,848027858.186455
1574308551.590738,836732970.4575363
1574308551.69076,868435187.3376082
1574308551.790797,959873657.4565094
1574308551.890818,791436599.0883604
1574308551.990836,935716117.3677133
1574308552.090859,911316185.5952708
1574308552.190869,888937266.0086778
1574308552.291129,869700153.4689902
1574308552.39115,857894307.7982599
1574308552.49121,882450601.3668729
1574308552.591328,882195658.5623403
1574308552.691362,929790899.49379
1574308552.791395,671390945.8696114
1574308552.891434,878062182.5601128
1574308552.991472,901085051.2778345
1574308553.09149,932907472.2508296
1574308553.19151,814311468.975579
1574308553.291548,715349969.7075864
1574308553.391591,701831666.3130972
1574308553.49173,840791035.6675563
1574308553.591786,846055393.074325
1574308553.691796,870983173.0631193
1574308553.791869,814503643.1999161
1574308553.891931,855947768.5335901
1574308553.99199,672217597.7734834
1574308554.092002,907210020.9787543
1574308554.192034,846154685.3786896
1574308554.292071,889964777.4331441
1574308554.392406,907133163.702354
1574308554.492489,874636535.9100369
1574308554.592556,854177008.4535104
1574308554.692578,802847634.621344
1574308554.792583,850574448.1133312
1574308554.892616,703779859.3570472
1574308554.992779,655843596.0448078
1574308555.092844,720354147.8710477
1574308555.192848,718985257.9278512
1574308555.293173,699016982.442732
1574308555.393231,722466802.6136774
1574308555.493276,725194658.8116976
1574308555.593323,727970926.8385682
1574308555.693372,722259732.5249983
1574308555.793417,686066747.6696546
1574308555.893474,712608212.8193947
1574308555.993489,696817597.4063126
1574308556.093568,670590618.2980782
1574308556.193582,625137997.4825495
1574308556.293675,593948835.5183693
1574308556.393749,653536293.9808638
1574308556.493776,699532217.8337239
1574308556.593819,732007497.4618564
1574308556.693944,730439659.4159579
1574308556.79398,631491324.8595582
1574308556.89419,723661207.2718136
1574308556.994476,696107062.4158471
1574308557.094609,780976648.4118291
1574308557.194643,696233690.6663997
1574308557.294762,641322637.396143
1574308557.395161,674833042.02447
1574308557.49519,781795711.4935405
1574308557.595209,912971828.6765546
1574308557.695213,1090560359.546838
1574308557.795219,1119866358.3848104
1574308557.895231,1208577249.2627654
1574308557.995246,1068660885.4190257
1574308558.09525,1067978102.1793395
1574308558.195255,983070467.8347237
1574308558.295265,1049215948.7345755
1574308558.395272,1067745012.826259
1574308558.495281,1057925340.1993039
