time,bits/s
1574308541.974226,837075066.5207763
1574308542.074348,909404292.8788322
1574308542.174529,905343818.0265554
1574308542.274562,867597314.7433192
1574308542.374569,835456975.2915709
1574308542.474585,841390470.6962109
1574308542.574617,866954071.2417849
1574308542.674662,948300720.6266817
1574308542.774689,949372293.9186854
1574308542.874695,874673724.1532222
1574308542.974761,870752756.8180627
1574308543.074839,883337439.6359694
1574308543.17487,814873468.3837568
1574308543.274878,900345047.2993592
1574308543.374896,813470831.5911676
1574308543.474929,891424558.2991706
1574308543.575045,895517806.5501393
1574308543.675085,934612626.3437635
1574308543.775103,992232341.9452199
1574308543.875127,891805237.3892192
1574308543.975167,900059658.7613117
1574308544.075202,984423986.9573922
1574308544.175212,889928709.0191292
1574308544.275227,963183801.6978123
1574308544.375327,1003988706.6179905
1574308544.475557,996871679.3983434
1574308544.575568,912275338.7253569
1574308544.675576,958850620.7146467
1574308544.775591,961184042.9483099
1574308544.875601,995129771.8018404
1574308544.975625,1006552647.199672
1574308545.075636,983178358.916255
1574308545.175663,866968537.9051906
1574308545.27568,985452921.121449
1574308545.375719,957313328.9477447
1574308545.475767,977865459.858747
1574308545.575783,928967995.995137
1574308545.675899,938234352.3145862
1574308545.77609,977102683.5305254
1574308545.876125,999136485.7041174
1574308545.976334,964305315.5618156
1574308546.076348,959686511.681129
1574308546.176368,920145117.9377403
1574308546.276455,1016745258.9552221
1574308546.3765,974732471.6116557
1574308546.476641,937761252.0283993
1574308546.57667,1020523597.8109567
1574308546.676678,941242551.1138237
1574308546.77668,859998769.7618917
1574308546.876754,1048346165.267361
1574308546.976771,989161800.9530643
1574308547.076793,1009298828.6445744
1574308547.176839,878536918.8380097
1574308547.276854,914283161.5985353
1574308547.376934,918093858.816971
1574308547.476954,976535626.0890915
1574308547.577019,963101606.8488483
1574308547.677064,927209600.9837776
1574308547.777072,925872186.1134886
1574308547.877076,924181050.5937693
1574308547.977106,876033745.2742485
1574308548.077167,962985885.6194037
1574308548.177188,996177564.5269626
1574308548.277216,913761228.0116318
1574308548.37728,996492739.4290017
1574308548.477304,901211777.7067969
1574308548.577461,979979902.9234838
1574308548.677466,853474360.9977995
1574308548.77747,935680814.8026292
1574308548.877517,892830557.555243
1574308548.97757,894461545.1486527
1574308549.077582,965380205.8463805
1574308549.177595,920297752.1055982
1574308549.277602,950851032.6807358
1574308549.377622,761439002.1551313
1574308549.477658,500029997.3544532
1574308549.577766,711994949.0570961
1574308549.677795,816825471.4550439
1574308549.777877,610617248.4407831
1574308549.877898,853338052.4898095
1574308549.977931,864517380.3331912
1574308550.077941,931534259.8579125
1574308550.177958,856870069.1785818
1574308550.277972,923388602.5827153
1574308550.378158,913727939.1086246
1574308550.478198,828482850.3353009
1574308550.578216,909209822.6341686
1574308550.678228,983511832.7023754
1574308550.778249,858245306.0504498
1574308550.878337,899269744.1716282
1574308550.978439,904063411.0237846
1574308551.07846,902699748.3171988
1574308551.178485,872499052.695059
1574308551.278537,938869606.3187298
1574308551.378567,956043341.254651
1574308551.478619,859978448.3695393
1574308551.578642,938070159.6614019
1574308551.678652,897861993.4944787
1574308551.778685,952314825.768193
1574308551.878705,834543094.414472
1574308551.978721,900374205.7598649
1574308552.078741,965026059.4127378
1574308552.178754,865873988.5038015
1574308552.278981,898988250.2102604
1574308552.379,949627171.3272213
1574308552.479008,896098718.1205014
1574308552.579021,888054266.6145352
1574308552.679028,972861496.5895572
1574308552.779067,753388764.6705502
1574308552.87913,941535209.6110865
1574308552.979213,914810909.8296479
1574308553.079236,896957465.2828355
1574308553.179289,953314513.0634538
1574308553.282801,818938073.3915367
1574308553.382823,749948733.7520708
1574308553.482839,938877780.1351657
1574308553.582913,954513637.4639056
1574308553.682955,882105252.6798292
1574308553.782983,876713045.7336843
1574308553.882998,870786644.0039573
1574308553.983026,753612059.8281431
1574308554.083044,909564247.5083017
1574308554.183073,875352657.5621989
1574308554.283105,915625812.4302834
1574308554.383148,951394686.5920656
1574308554.483151,948489597.6730602
1574308554.583475,851610267.1222717
1574308554.683529,763283056.8220391
1574308554.783558,938948668.7421633
1574308554.883561,721398968.0304985
1574308554.983823,678020309.4810699
1574308555.083836,765641421.2899802
1574308555.183861,681351198.7452387
1574308555.283972,785852000.8669082
1574308555.384007,750619964.4841502
1574308555.484061,761272034.2457265
1574308555.584065,748884644.870887
1574308555.684102,750651948.4518636
1574308555.784116,718764698.4272299
1574308555.884154,752112433.813627
1574308555.984208,763511172.7082956
1574308556.084211,767693410.8346009
1574308556.184252,648380522.1686856
1574308556.284315,685082512.1638558
1574308556.384368,637175510.6709497
1574308556.484373,704285559.330439
1574308556.584394,730368355.1605936
1574308556.684416,710194003.5233008
1574308556.784428,786521991.0744936
1574308556.884454,775012266.239524
1574308556.984457,711492196.8839034
1574308557.08446,788491352.4145577
1574308557.184516,662974598.6514862
1574308557.284573,755929452.0012583
1574308557.384612,690245578.8457643
1574308557.484694,800827252.1313959
